MUNIC_NAME;female_1996;female_2001;female_2011;female_2022;male_1996;male_2001;male_2011;male_2022;black_african_1996;black_african_2001;black_african_2011;black_african_2022;coloured_1996;coloured_2001;coloured_2011;coloured_2022;indian_or_asian_1996;indian_or_asian_2001;indian_or_asian_2011;indian_or_asian_2022;other_1996;other_2001;other_2011;other_2022;unspecified_1996;unspecified_2001;unspecified_2011;unspecified_2022;white_1996;white_2001;white_2011;white_2022;age_0_9_1996;age_0_9_2001;age_0_9_2011;age_0_9_2022;age_100_plus_1996;age_100_plus_2001;age_100_plus_2011;age_100_plus_2022;age_10_19_1996;age_10_19_2001;age_10_19_2011;age_10_19_2022;age_20_29_1996;age_20_29_2001;age_20_29_2011;age_20_29_2022;age_30_39_1996;age_30_39_2001;age_30_39_2011;age_30_39_2022;age_40_49_1996;age_40_49_2001;age_40_49_2011;age_40_49_2022;age_50_59_1996;age_50_59_2001;age_50_59_2011;age_50_59_2022;age_60_69_1996;age_60_69_2001;age_60_69_2011;age_60_69_2022;age_70_79_1996;age_70_79_2001;age_70_79_2011;age_70_79_2022;age_80_89_1996;age_80_89_2001;age_80_89_2011;age_80_89_2022;age_90_99_1996;age_90_99_2001;age_90_99_2011;age_90_99_2022;age_unspecified_1996;age_unspecified_2001;age_unspecified_2011;age_unspecified_2022;Tot_pop_1996;Tot_pop_2001;Tot_pop_2011;Tot_pop_2022
Alfred Duma;151110;183884;182426;221323;125881;155220;158125;193711;251801;316340;320579;381850;1554;2262;2420;4259;10764;11503;10613;19560;0;0;502;984;1908;0;0;6;10964;8999;6437;8375;70511;84726;85025;80109;21;49;114;46;68531;86377;76800;82038;45252;56353;61809;71828;32412;39603;40381;67551;22456;30317;28862;44790;13878;19222;22801;30674;9934;12730;14154;23920;5638;6836;7230;10444;1416;2514;2809;3039;326;377;566;582;6616;0;0;13;276991;339104;340551;415034
Ba-Phalaborwa;54134;67182;77620;98349;55599;64356;73017;90256;97615;120351;140081;175849;218;338;476;403;44;90;310;494;0;0;143;215;1283;0;0;41;10573;10759;9627;11603;24982;30050;34822;40560;5;12;38;44;24086;29070;29437;34835;20562;26065;30361;33468;15531;18729;21484;29042;10800;14008;15188;21277;5807;7841;10224;15014;2840;3601;5452;8857;1115;1596;2585;3757;379;470;861;1489;66;96;185;261;3560;0;0;1;109733;131538;150637;188605
Bushbuckridge;297535;274882;295220;407530;248276;225242;246023;343295;541189;498481;538790;747022;573;805;560;1788;144;90;543;1033;0;0;299;14;3193;0;0;12;712;748;1051;956;151737;133027;135278;167129;16;103;141;266;149407;145639;132889;147067;95510;80803;99593;128757;54466;51206;60139;113575;33077;33846;44055;77846;20844;21465;29515;55734;20347;17286;19597;36213;11128;11714;12622;15693;2770;4318;6049;6573;481;717;1365;1969;6028;0;0;3;545811;500124;541243;750825
City of Matlosana;156074;175952;199312;222153;178271;183248;199363;209074;263318;283849;322872;363561;8660;10006;13958;12582;1530;1329;3086;255;0;0;1017;631;1786;0;0;45;59051;64016;57742;54153;60092;62229;78721;76083;9;28;98;30;58922;68125;68350;73230;65850;65706;74052;71462;66386;64756;59056;71255;40300;49328;49925;53422;21547;25683;36027;40497;11200;14273;19237;28095;5125;6749;9666;12594;1407;2065;3085;4041;223;258;458;508;3284;0;0;10;334345;359200;398675;431227
City of Mbombela;243469;274623;335061;418890;231173;256023;320892;390781;428276;491482;584855;765523;3802;4653;6932;4855;2282;2065;4914;4474;0;0;1248;57;2743;0;0;274;37539;32446;58004;34488;112004;116936;132931;155140;36;88;181;164;104392;125085;127741;134453;92433;103321;143761;152600;66129;78092;98216;149365;39997;48986;68808;96764;22311;26857;43157;63404;14994;17301;22706;36766;8015;9601;12246;14425;2318;3732;5029;5332;413;647;1177;1246;11600;0;0;12;474642;530646;655953;809671
Drakenstein;94494;99210;127738;142815;91839;95207;123522;133984;29405;41510;56961;71759;121975;123963;157031;152826;459;590;997;1172;0;0;2313;4219;3321;0;0;291;31173;28354;33958;46532;37630;35976;43924;40783;6;11;124;15;36052;40132;43657;40870;36796;34753;48453;48184;30341;33056;35812;48516;19866;23471;35044;36191;12150;13678;23803;31110;7551;8129;12301;19697;3365;3845;5842;8621;1053;1177;1991;2493;122;189;309;315;1401;0;0;4;186333;194417;251260;276799
Emalahleni;113933;135700;186717;213964;122106;140712;208752;220559;176026;227321;321668;397516;3877;3954;6719;5632;1312;1093;3562;2743;0;0;1628;40;1411;0;0;377;53413;44044;61892;28215;45603;52179;70480;76377;11;29;93;27;43509;52656;61288;65273;46882;55014;91326;83404;44830;48950;66430;86459;27950;36903;48266;54422;13324;17908;34063;36132;6428;7924;14997;22530;2983;3484;6139;7332;834;1207;2002;1994;121;158;385;336;3564;0;0;237;236039;276412;395469;434523
Emfuleni;303359;335496;366799;477418;293922;322454;354862;468232;483462;552956;616095;859578;5901;6996;8356;9451;4721;5893;7077;6485;0;0;3186;1689;3776;0;0;171;99421;92105;86947;68276;112652;109995;129675;151614;31;71;150;71;115492;124874;118634;148731;121570;138326;150046;170473;97953;108465;113202;169190;69617;84972;86750;123692;38640;48484;66266;86671;22054;26308;35520;60949;10537;11701;15759;25885;3062;4126;4773;7332;407;628;886;1014;5266;0;0;28;597281;657950;721661;945650
Enoch Mgijima;123483;125258;129021;156273;107412;109322;116953;140783;209823;217300;226422;269950;10049;9161;10011;13003;433;354;1002;1623;0;0;1056;1744;991;0;0;50;9599;7765;7483;10686;51308;47476;53020;52494;20;29;86;88;59241;62285;48472;57681;39621;36908;42494;45691;26659;27013;29150;44020;18389;23182;25720;32116;13506;14775;21958;27136;10262;12576;13235;23177;7091;6502;8186;10362;2345;3315;2875;3687;342;519;778;602;2111;0;0;2;230895;234580;245974;297056
Fetakgomo Tubatse;179655;200262;226816;300302;147139;161947;202653;275659;322310;358883;423021;566758;239;328;673;1271;116;248;598;1888;0;0;385;543;2432;0;0;103;1697;2750;4792;5398;95766;95831;104354;130157;15;120;242;308;92789;105403;92333;106866;46597;54156;82991;94546;29198;35205;53877;89404;20958;26062;37605;62316;14234;17945;24757;44068;12798;13899;16706;27890;6933;8780;10526;13352;2323;3941;4590;5516;480;867;1488;1528;4703;0;0;10;326794;362209;429469;575961
