CAT_B;TaxYear;FTE
EC139;2014;21064
EC139;2015;21304
EC139;2016;20822
EC139;2017;20740
EC139;2018;19720
EC139;2019;20585
EC139;2020;21541
EC139;2021;22782
EC139;2022;22045
EC139;2023;21568
EC139;2024;21750
EC139;2025;21702
EC157;2014;31264
EC157;2015;34062
EC157;2016;33009
EC157;2017;32152
EC157;2018;33585
EC157;2019;34812
EC157;2020;35723
EC157;2021;36562
EC157;2022;36824
EC157;2023;37064
EC157;2024;40471
EC157;2025;36130
FS184;2014;61871
FS184;2015;60259
FS184;2016;59179
FS184;2017;59618
FS184;2018;58833
FS184;2019;59150
FS184;2020;59875
FS184;2021;58665
FS184;2022;59193
FS184;2023;56842
FS184;2024;56707
FS184;2025;54126
FS194;2014;27910
FS194;2015;29139
FS194;2016;28887
FS194;2017;28280
FS194;2018;28898
FS194;2019;29253
FS194;2020;29870
FS194;2021;27968
FS194;2022;27726
FS194;2023;27130
FS194;2024;27006
FS194;2025;26817
FS204;2014;27433
FS204;2015;26966
FS204;2016;26071
FS204;2017;26348
FS204;2018;25833
FS204;2019;26676
FS204;2020;27816
FS204;2021;25188
FS204;2022;25209
FS204;2023;26352
FS204;2024;26647
FS204;2025;24432
GT421;2014;112011
GT421;2015;110573
GT421;2016;109040
GT421;2017;112047
GT421;2018;111607
GT421;2019;114270
GT421;2020;116621
GT421;2021;108140
GT421;2022;109257
GT421;2023;110687
GT421;2024;113456
GT421;2025;113682
GT481;2014;75908
GT481;2015;76797
GT481;2016;78835
GT481;2017;82140
GT481;2018;84746
GT481;2019;87660
GT481;2020;88473
GT481;2021;87224
GT481;2022;84290
GT481;2023;87958
GT481;2024;88035
GT481;2025;87577
GT484;2014;44831
GT484;2015;41021
GT484;2016;41337
GT484;2017;41639
GT484;2018;35577
GT484;2019;35256
GT484;2020;35520
GT484;2021;35272
GT484;2022;35520
GT484;2023;34767
GT484;2024;34087
GT484;2025;34149
GT485;2014;50143
GT485;2015;49623
GT485;2016;49974
GT485;2017;51224
GT485;2018;45707
GT485;2019;44038
GT485;2020;44799
GT485;2021;42842
GT485;2022;43921
GT485;2023;43331
GT485;2024;41003
GT485;2025;38283
KZN216;2014;56838
KZN216;2015;58414
KZN216;2016;58673
KZN216;2017;59430
KZN216;2018;59117
KZN216;2019;57742
KZN216;2020;61535
KZN216;2021;60861
KZN216;2022;63595
KZN216;2023;67863
KZN216;2024;68812
KZN216;2025;64526
KZN225;2014;107534
KZN225;2015;108548
KZN225;2016;111242
KZN225;2017;110283
KZN225;2018;109621
KZN225;2019;110304
KZN225;2020;113163
KZN225;2021;108695
KZN225;2022;113520
KZN225;2023;116062
KZN225;2024;115875
KZN225;2025;111605
KZN238;2014;36850
KZN238;2015;36764
KZN238;2016;37861
KZN238;2017;38036
KZN238;2018;37946
KZN238;2019;38926
KZN238;2020;40610
KZN238;2021;40374
KZN238;2022;42334
KZN238;2023;43375
KZN238;2024;43290
KZN238;2025;40531
KZN252;2014;43921
KZN252;2015;42725
KZN252;2016;42717
KZN252;2017;39986
KZN252;2018;43660
KZN252;2019;41695
KZN252;2020;42715
KZN252;2021;42098
KZN252;2022;43229
KZN252;2023;44681
KZN252;2024;46327
KZN252;2025;42876
KZN282;2014;61908
KZN282;2015;61983
KZN282;2016;61442
KZN282;2017;58833
KZN282;2018;60277
KZN282;2019;60573
KZN282;2020;64982
KZN282;2021;63988
KZN282;2022;65296
KZN282;2023;66232
KZN282;2024;69024
KZN282;2025;63454
KZN292;2014;38283
KZN292;2015;37799
KZN292;2016;38729
KZN292;2017;39251
KZN292;2018;40392
KZN292;2019;40923
KZN292;2020;42695
KZN292;2021;43625
KZN292;2022;47231
KZN292;2023;51409
KZN292;2024;54520
KZN292;2025;51844
LIM331;2014;15849
