Municipali,Province,Classification,Wards,Population,Black_African,Coloured,Indian_Asian,White,Other,Black_%,Coloured_%,Indian_%,White_%,Other_%,GeoJSON
Alfred Duma Local Municipality,KwaZulu-Natal,Manufacturing,37,415035.5225101919,381850.7529877879,4260.647193874,19559.282350356,8374.889947278,989.9500284000001,92.0,1.0,4.7,2.0,0.2,Alfred_Duma_Local_Municipality.geojson
Ba-Phalaborwa Local Municipality,Limpopo,Mining,19,188602.6080177,175850.6359941,402.113892396,494.56688533199997,11600.21485157,255.0763928,93.2,0.2,0.3,6.2,0.1,Ba-Phalaborwa_Local_Municipality.geojson
Bushbuckridge Local Municipality,Mpumalanga,Low GVA and high population density,38,750820.968124,747021.31288,1787.480256222,1029.875032088,956.88312178,25.41683046,99.5,0.2,0.1,0.1,0.0,Bushbuckridge_Local_Municipality.geojson
City of Matlosana Local Municipality,North West,Service centre,39,431231.0851391631,363559.88277637,12581.441695544001,258.352816869,54153.98599860599,677.4218568001,84.3,2.9,0.1,12.6,0.2,City_of_Matlosana_Local_Municipality.geojson
City of Mbombela Local Municipality,Mpumalanga,Large and semi-diverse,45,809674.066548356,765524.8330310598,4856.417987664,4474.086070621999,34487.132618960124,331.59683732,94.5,0.6,0.6,4.3,0.0,City_of_Mbombela_Local_Municipality.geojson
Drakenstein Local Municipality,Western Cape,Manufacturing,33,276800.01331234013,71758.539507932,152825.40188502212,1173.502917716,46531.73693307,4510.8320681000005,25.9,55.2,0.4,16.8,1.6,Drakenstein_Local_Municipality.geojson
Emalahleni Local Municipality,Mpumalanga,Mining,34,434521.718277,397516.202159,5631.6631,2742.030519,28215.121493,416.701005,91.5,1.3,0.6,6.5,0.1,Emalahleni_Local_Municipality.geojson
Emfuleni Local Municipality,Gauteng,Large and semi-diverse,45,945650.3679701,859578.3355969,9451.219653834,6485.456631744,68276.624402332,1858.731687236,90.9,1.0,0.7,7.2,0.2,Emfuleni_Local_Municipality.geojson
Enoch Mgijima Local Municipality,Eastern Cape,Low GVA and high population density,34,297055.304893076,269951.696357302,13002.937104007,1621.965679571,10685.137822993,1793.5679307,90.9,4.4,0.5,3.6,0.6,Enoch_Mgijima_Local_Municipality.geojson
Fetakgomo Tubatse Local Municipality,Limpopo,Mining,39,575960.3383765,566756.538599,1270.378728256,1887.995569278,5398.373304076,647.052172048,98.4,0.2,0.3,0.9,0.1,Fetakgomo_Tubatse_Local_Municipality.geojson
George Local Municipality,Western Cape,Service centre,28,294928.5068122,103110.99369345799,130942.63698987,1113.722396474,54371.607927898,5389.54580354,35.0,44.4,0.4,18.4,1.8,George_Local_Municipality.geojson
Govan Mbeki Local Municipality,Mpumalanga,Manufacturing,32,310116.63973824517,277214.01786209684,2723.2720086219997,3535.0893364480016,26612.55219988033,31.708330655999998,89.4,0.9,1.1,8.6,0.0,Govan_Mbeki_Local_Municipality.geojson
Greater Giyani Local Municipality,Limpopo,Service centre,31,316841.3195758,312803.4163469,457.816516816,2816.532711746,414.570975479,348.98302284199997,98.7,0.1,0.9,0.1,0.1,Greater_Giyani_Local_Municipality.geojson
Greater Tzaneen Local Municipality,Limpopo,Low GVA and high population density,35,478253.5098779,464489.3926729,1011.366963299,1993.705084513,10333.613905543,425.4312489,97.1,0.2,0.4,2.2,0.1,Greater_Tzaneen_Local_Municipality.geojson
JB Marks Local Municipality,North West,Service centre,34,212670.17435466158,178307.93899649402,10870.887740456,147.025150333,22850.52239158158,493.8000751000001,83.8,5.1,0.1,10.7,0.2,JB_Marks_Local_Municipality.geojson
King Sabata Dalindyebo Local Municipality,Eastern Cape,Low GVA and high population density,37,476557.582860735,466828.200662519,3915.99384097,1983.293564787,1921.758665348,1908.33612267,98.0,0.8,0.4,0.4,0.4,King_Sabata_Dalindyebo_Local_Municipality.geojson
KwaDukuza Local Municipality,KwaZulu-Natal,Manufacturing,30,324911.6535135,231939.1463557,3618.21950458,60377.020141406,27935.465110246,1041.802403,71.4,1.1,18.6,8.6,0.3,KwaDukuza_Local_Municipality.geojson
Lephalale Local Municipality,Limpopo,Mining,15,125198.06759326301,115485.291424893,410.1359513189999,429.0895220839999,8702.108798487,171.44189640000002,92.2,0.3,0.3,7.0,0.1,Lephalale_Local_Municipality.geojson
Local Municipality of Madibeng,North West,Mining,41,522565.8310544,491049.43940497,4522.080966823,376.257874589,25815.642542674,802.410265961,94.0,0.9,0.1,4.9,0.2,Local_Municipality_of_Madibeng.geojson
Mafikeng Local Municipality,North West,Low GVA and high population density,35,354504.3509392,345114.6598579,6172.907541073,315.123556581,2443.497952668,458.1620332,97.4,1.7,0.1,0.7,0.1,Mafikeng_Local_Municipality.geojson
Makhado Local Municipality,Limpopo,Low GVA and high population density,38,502451.8167915,484732.6920897,1480.926667678,3368.33749448,12118.006167277,751.8543734,96.5,0.3,0.7,2.4,0.1,Makhado_Local_Municipality.geojson
Maluti a Phofung Local Municipality,Free State,Service centre,35,398459.3792843,390083.2268574,931.533036639,1099.712694595,5881.4080687000005,463.4986276,97.9,0.2,0.3,1.5,0.1,Maluti_a_Phofung_Local_Municipality.geojson
Matjhabeng Local Municipality,Free State,Mining,36,439033.7823369,386796.3439637,10053.150738994,2049.670203564,39529.474342633,605.1430895,88.1,2.3,0.5,9.0,0.1,Matjhabeng_Local_Municipality.geojson
Merafong City Local Municipality,Gauteng,Mining,28,225476.18622150001,201553.4603064,2930.705341868,721.533759526,19885.665895386,384.8209194,89.4,1.3,0.3,8.8,0.2,Merafong_City_Local_Municipality.geojson
Metsimaholo Local Municipality,Free State,Manufacturing,23,158391.25393586003,134711.514669665,901.44684042,556.656927129,21936.323192381038,285.312305,85.0,0.6,0.4,13.8,0.2,Metsimaholo_Local_Municipality.geojson
Mogalakwena Local Municipality,Limpopo,Service centre,32,378197.54902660876,362046.3558913118,818.471964602,2161.021514769,12516.159551877998,655.54010284,95.7,0.2,0.6,3.3,0.2,Mogalakwena_Local_Municipality.geojson
Mogale City Local Municipality,Gauteng,Manufacturing,39,438216.6872430959,369233.4258133598,3482.9594507059996,10012.670195448001,54654.33759248009,833.2941903,84.3,0.8,2.3,12.5,0.2,Mogale_City_Local_Municipality.geojson
Newcastle Local Municipality,KwaZulu-Natal,Manufacturing,34,507710.27941,461500.11977968,4468.164867178,18422.703725503998,21776.206677336002,1543.0843596,90.9,0.9,3.6,4.3,0.3,Newcastle_Local_Municipality.geojson
Nkomazi Local Municipality,Mpumalanga,Service centre,33,591927.7251332345,579754.8557537384,1749.79866341,1793.883653138,8431.385349064001,197.80171595010003,97.9,0.3,0.3,1.4,0.0,Nkomazi_Local_Municipality.geojson
Polokwane Local Municipality,Limpopo,Large and semi-diverse,45,843459.0036484,790541.6237161,6349.469719028,8965.114627341,35795.470203341,1807.3253804,93.7,0.8,1.1,4.2,0.2,Polokwane_Local_Municipality.geojson
Rand West City Local Municipality,Gauteng,Mining,35,334773.3208088,282457.1126883,21646.84729756,1284.78507633,28369.86766515,1014.70808134,84.4,6.5,0.4,8.5,0.3,Rand_West_City_Local_Municipality.geojson
Ray Nkonyeni Local Municipality,KwaZulu-Natal,Service centre,36,362134.4426101805,300434.6737750978,4829.466116554001,20396.573986791,35757.797438203634,715.93129687,83.0,1.3,5.6,9.9,0.2,Ray_Nkonyeni_Local_Municipality.geojson
Rustenburg Local Municipality,North West,Mining,45,562315.2666659689,528255.155903909,4419.838899602,618.497609794,27297.489926955965,1724.2843264800001,93.9,0.8,0.1,4.9,0.3,Rustenburg_Local_Municipality.geojson
Sol Plaatje Local Municipality,Northern Cape,Service centre,33,270078.3810909,167312.94227784,75401.35913477,3425.5542536,23471.394633149997,467.130791554,61.9,27.9,1.3,8.7,0.2,Sol_Plaatje_Local_Municipality.geojson
Stellenbosch Local Municipality,Western Cape,Manufacturing,23,175410.61273187,64901.696722194,66314.53830476,842.022155814,40818.774744248,2533.5808048,37.0,37.8,0.5,23.3,1.4,Stellenbosch_Local_Municipality.geojson
Steve Tshwete Local Municipality,Mpumalanga,Mining,29,242030.6844184,208037.77956519998,4517.06492467,2511.499993648,26857.182655122,107.157280164,86.0,1.9,1.0,11.1,0.0,Steve_Tshwete_Local_Municipality.geojson
The Msunduzi Local Municipality,KwaZulu-Natal,Large and semi-diverse,41,817725.0794102259,635993.9928046418,24213.65844663,113400.156009088,41243.99217032,2873.27997952,77.8,3.0,13.9,5.0,0.4,The_Msunduzi_Local_Municipality.geojson
