CAT_B;RealWageBand;FTE
EC139;0-1600;465,3308236
EC139;102400-204800;180,8097667
EC139;12800-25600;3495,350115
EC139;1600-3200;717,8045817
EC139;1638400-10000000;5
EC139;204800-409600;17,05012105
EC139;25600-51200;6054,690434
EC139;3200-6400;4590,481356
EC139;409600-819200;5
EC139;51200-102400;1355,992348
EC139;6400-12800;4820,066821
EC139;819200-1638400;5
EC157;0-1600;755,0160376
EC157;102400-204800;404,404421
EC157;12800-25600;5631,170011
EC157;1600-3200;1187,006728
EC157;1638400-10000000;5
EC157;204800-409600;37,31571975
EC157;25600-51200;9660,432136
EC157;3200-6400;7056,585046
EC157;409600-819200;5
EC157;51200-102400;2495,914658
EC157;6400-12800;8900,492428
EC157;819200-1638400;5
FS184;0-1600;1162,134246
FS184;102400-204800;837,7260266
FS184;12800-25600;10063,30684
FS184;1600-3200;1747,819177
FS184;1638400-10000000;5
FS184;204800-409600;67,34246582
FS184;25600-51200;15441,05477
FS184;3200-6400;9869,912316
FS184;409600-819200;5
FS184;51200-102400;4151,082189
FS184;6400-12800;10772,8356
FS184;819200-1638400;5
FS194;0-1600;658,342591
FS194;102400-204800;148,7120627
FS194;12800-25600;4374,624932
FS194;1600-3200;1755,277085
FS194;1638400-10000000;5
FS194;204800-409600;5
FS194;25600-51200;7226,91956
FS194;3200-6400;7033,006999
FS194;409600-819200;5
FS194;51200-102400;1539,074351
FS194;6400-12800;4073,226151
FS194;819200-1638400;5
FS204;0-1600;709,6407576
FS204;102400-204800;775,9822904
FS204;12800-25600;5142,335285
FS204;1600-3200;639,0601423
FS204;1638400-10000000;5
FS204;204800-409600;51,60173966
FS204;25600-51200;5823,480439
FS204;3200-6400;3788,076265
FS204;409600-819200;5
FS204;51200-102400;3153,076275
FS204;6400-12800;4339,807665
FS204;819200-1638400;5
GT421;0-1600;2690,492812
GT421;102400-204800;1907,737856
GT421;12800-25600;24050,05035
GT421;1600-3200;4227,145234
GT421;1638400-10000000;5
GT421;204800-409600;179,51814
GT421;25600-51200;25277,38092
GT421;3200-6400;20478,16872
GT421;409600-819200;27,32285862
GT421;51200-102400;11198,27318
GT421;6400-12800;23641,48215
GT421;819200-1638400;5
GT481;0-1600;2107,135436
GT481;102400-204800;1261,359174
GT481;12800-25600;16414,41885
GT481;1600-3200;3501,018945
GT481;1638400-10000000;5
GT481;204800-409600;201,4584622
GT481;25600-51200;14135,96407
GT481;3200-6400;17740,95229
GT481;409600-819200;24,68962682
GT481;51200-102400;5077,49238
GT481;6400-12800;27100,59969
GT481;819200-1638400;5
GT484;0-1600;599,3018484
GT484;102400-204800;690,5319588
GT484;12800-25600;10397,41183
GT484;1600-3200;739,1925861
GT484;1638400-10000000;5
GT484;204800-409600;109,3865209
GT484;25600-51200;10140,81035
GT484;3200-6400;3689,493179
GT484;409600-819200;5
GT484;51200-102400;2965,169913
GT484;6400-12800;4808,481961
GT484;819200-1638400;5
GT485;0-1600;1009,935198
GT485;102400-204800;781,7895419
GT485;12800-25600;8718,132765
GT485;1600-3200;851,9547684
GT485;1638400-10000000;5
GT485;204800-409600;133,2749713
GT485;25600-51200;9033,815799
GT485;3200-6400;5123,525056
GT485;409600-819200;19,12712936
GT485;51200-102400;4064,815752
GT485;6400-12800;8543,904418
GT485;819200-1638400;5
KZN216;0-1600;6764,567326
KZN216;102400-204800;377,2699412
KZN216;12800-25600;7136,770547
KZN216;1600-3200;6004,950036
KZN216;1638400-10000000;5
KZN216;204800-409600;37,10449784
KZN216;25600-51200;12437,94418
