Municipali,Main_Town,Secondary_Towns,Source
Alfred Duma Local Municipality,Ladysmith,"Colenso, Van Reenen",Wikipedia; Alfred Duma LM official profile; gov.za
Ba-Phalaborwa Local Municipality,Phalaborwa,,Wikipedia; gov.za
Bushbuckridge Local Municipality,Bushbuckridge,Acornhoek,Wikipedia; gov.za
City of Matlosana Local Municipality,Klerksdorp,"Stilfontein, Orkney",Wikipedia; gov.za
City of Mbombela Local Municipality,Mbombela,,Wikipedia; gov.za
Drakenstein Local Municipality,Paarl,,Wikipedia; gov.za
Emalahleni Local Municipality,eMalahleni,,Wikipedia; gov.za
Emfuleni Local Municipality,Vanderbijlpark,"Vereeniging, Sebokeng",Wikipedia; gov.za
Enoch Mgijima Local Municipality,Komani,,Wikipedia; gov.za
Fetakgomo Tubatse Local Municipality,Burgersfort,"Ohrigstad, Tubatse",Wikipedia; gov.za
George Local Municipality,George,,Wikipedia; gov.za
Govan Mbeki Local Municipality,Secunda,,Wikipedia; gov.za
Greater Giyani Local Municipality,Giyani,,Wikipedia; gov.za
Greater Tzaneen Local Municipality,Tzaneen,,Wikipedia; gov.za
JB Marks Local Municipality,Potchefstroom,Ventersdorp,Wikipedia; gov.za
King Sabata Dalindyebo Local Municipality,Mthatha,,Wikipedia; gov.za
KwaDukuza Local Municipality,KwaDukuza,Ballito,Wikipedia; gov.za
Lephalale Local Municipality,Lephalale,,Wikipedia; gov.za
Local Municipality of Madibeng,Brits,Hartbeespoort,Wikipedia; gov.za
Mafikeng Local Municipality,Mahikeng,,Wikipedia; gov.za
Makhado Local Municipality,Makhado,,Wikipedia; gov.za
Maluti a Phofung Local Municipality,Phuthaditjhaba,Harrismith,Wikipedia; gov.za
Matjhabeng Local Municipality,Welkom,,Wikipedia; gov.za
Merafong City Local Municipality,Carletonville,,Wikipedia; gov.za
Metsimaholo Local Municipality,Sasolburg,,Wikipedia; gov.za
Mogalakwena Local Municipality,Mokopane,,Wikipedia; gov.za
Mogale City Local Municipality,Krugersdorp,,Wikipedia; gov.za
Newcastle Local Municipality,Newcastle,,Wikipedia; gov.za
Nkomazi Local Municipality,Malalane,,Wikipedia; gov.za
Polokwane Local Municipality,Polokwane,,Wikipedia; gov.za
Rand West City Local Municipality,Randfontein,,Wikipedia; gov.za
Ray Nkonyeni Local Municipality,Port Shepstone,,Wikipedia; gov.za
Rustenburg Local Municipality,Rustenburg,,Wikipedia; gov.za
Sol Plaatje Local Municipality,Kimberley,,Wikipedia; gov.za
Stellenbosch Local Municipality,Stellenbosch,,Wikipedia; gov.za
Steve Tshwete Local Municipality,Middelburg,,Wikipedia; gov.za
The Msunduzi Local Municipality,Pietermaritzburg,,Wikipedia; gov.za
Thulamela Local Municipality,Thohoyandou,,Wikipedia; gov.za
uMhlathuze Local Municipality,Richards Bay,Empangeni,Wikipedia; gov.za
